PlayerID,Current DKP,Sorts,90 Day %
Ajurk,0,Wed/Thu,0.00%
Alpha,30,Wed/Thu,0.00%
Anonymous,0,,0.00%
Artisan,4,Wed/Thu,0.00%
Awesomo,25,Mon/Tues,0.00%
Bardly,11,Mon/Tues,0.00%
Baxter,30,Wed/Thu,0.00%
Belwyn,36,Mon/Tues,0.00%
Blurz,14,Wed/Thu,0.00%
Bodhi,36,"Wed/Thu, Mon/Tues",0.00%
Broker,0,,0.00%
Carolus,17,Wed/Thu,0.00%
Cloudsongz,0,Wed/Thu,0.00%
Crewl,30,Wed/Thu,0.00%
Crowd,20,Backup,0.00%
Cweetness,36,Mon/Tues,0.00%
Dalinoir,7,Wed/Thu,0.00%
Deadweight,0,Wed/Thu,0.00%
Deathnote,5,Mon/Tues,0.00%
Devenie,4,Mon/Tues,0.00%
Drane,16,Mon/Tues,0.00%
Dudey,4,Wed/Thu,0.00%
Escrow,0,,0.00%
Eskers,4,,0.00%
Evyx,33,Mon/Tues,0.00%
Facet,4,,0.00%
Firefall,4,,0.00%
Fizzlin,17,Wed/Thu,0.00%
Gauzepad,4,Wed/Thu,0.00%
Genesi,4,Wed/Thu,0.00%
Geohood,23,Mon/Tues,0.00%
Graile,10,Backup,0.00%
Guild Bank,0,,0.00%
Hakuna,17,Mon/Tues,0.00%
Healinghands,0,Mon/Tues,0.00%
Hyac,36,Mon/Tues,0.00%
Jade,27,Mon/Tues,0.00%
Jaxx,36,"Wed/Thu, Mon/Tues",0.00%
Jdark,30,Wed/Thu,0.00%
Kissesandthugs,4,Mon/Tues,0.00%
Lionyl,30,Wed/Thu,0.00%
Malin,0,Wed/Thu,0.00%
Melessa,19,Mon/Tues,0.00%
Miro,9,Mon/Tues,0.00%
Morb,26,Mon/Tues,0.00%
Paper,30,Wed/Thu,0.00%
Phteve,0,Backup,0.00%
Prowlesis,30,Wed/Thu,0.00%
Slurgedirge,22,Wed/Thu,0.00%
Soulreaper,30,Wed/Thu,0.00%
Subpar,32,Mon/Tues,0.00%
Sylestia,33,Mon/Tues,0.00%
System,0,,0.00%
Testament,0,Backup,0.00%
Track,26,Mon/Tues,0.00%
Trashpanda,30,Wed/Thu,0.00%
Treachery,27,Mon/Tues,0.00%
Tyrael,0,Backup,0.00%
Uvaid,36,Mon/Tues,0.00%
Voormedicus,36,Mon/Tues,0.00%
Vril,30,Wed/Thu,0.00%
Vyce,25,Mon/Tues,0.00%
Waffle,30,Wed/Thu,0.00%
Xylith,36,"Mon/Tues, Wed/Thu",0.00%
Zarc,0,Wed/Thu,0.00%
Zhaixe,0,Backup,0.00%
